Year,Hardware_Production_Units_Million,Product_Movement_Index,Electrical_Consumption_GWh
2000,100,80,500
2001,103.5,82.4,520
2002,107.12,84.87,540.8
2003,110.87,87.42,562.43
2004,114.75,90.04,584.93
2005,118.77,92.74,608.33
2006,122.93,95.52,632.66
2007,127.23,98.39,657.97
2008,131.68,101.34,684.28
2009,136.29,104.38,711.66
2010,141.06,107.51,740.12
2011,146,110.74,769.73
2012,151.11,114.06,800.52
2013,156.4,117.48,832.54
2014,161.87,121.01,865.84
2015,167.53,124.64,900.47
2016,173.4,128.38,936.49
2017,179.47,132.23,973.95
2018,185.75,136.19,1012.91
2019,192.25,140.28,1053.42
2020,198.98,144.49,1095.56
2021,205.94,148.82,1139.38
2022,213.15,153.29,1184.96
2023,220.61,157.89,1232.36
2024,228.33,162.62,1281.65
2025,236.32,167.5,1332.92
2026,244.6,172.53,1386.23
2027,253.16,177.7,1441.68
2028,262.02,183.03,1499.35
2029,271.19,188.53,1559.33
2030,280.68,194.18,1621.7
2031,290.5,200.01,1686.57
2032,300.67,206.01,1754.03
2033,311.19,212.19,1824.19
2034,322.09,218.55,1897.16
2035,333.36,225.11,1973.04
2036,345.03,231.86,2051.97
2037,357.1,238.82,2134.04
2038,369.6,245.98,2219.41
2039,382.54,253.36,2308.18
2040,395.93,260.96,2400.51
